Treatment,year,fuel_type,carbon,std,order,proportion,totalcarbon
bc,2011,Dead,50.43623396,14.32901955,b,0.218724,230.5930488
bc,2011,FWD,3.326684041,0.088142033,d,0.014426645,230.5930488
bc,2011,Litter,1.640013238,0.891585191,f,0.007112154,230.5930488
bc,2011,Live,158.1892842,18.10414177,a,0.686010637,230.5930488
bc,2011,Shrub,0.085284124,0,e,0.000369847,230.5930488
bn,2004,CWD,9.422385,1.342398123,c,0.031611018,298.0728071
bn,2004,Dead,39.90246518,13.91742898,b,0.133868183,298.0728071
bn,2004,FWD,4.164805667,0.552126946,d,0.013972444,298.0728071
bn,2004,Litter,4.7,0.152752523,f,0.01576796,298.0728071
bn,2004,Live,239.8387372,18.16435495,a,0.80463139,298.0728071
bn,2004,Shrub,0.044414063,0,e,0.000149004,298.0728071
bn,2011,CWD,14.29425127,9.088546945,c,0.046595809,306.7711817
bn,2011,Dead,46.08839011,7.055901277,b,0.150237026,306.7711817
bn,2011,FWD,3.063463695,0.315675145,d,0.009986152,306.7711817
bn,2011,Litter,1.732240344,0.569751102,f,0.005646685,306.7711817
bn,2011,Live,241.5507578,17.0750177,a,0.787397162,306.7711817
bn,2011,Shrub,0.042078489,0,e,0.000137166,306.7711817
bs,2004,CWD,8.371682333,5.782357074,c,0.063623645,131.5813056
bs,2004,Dead,36.99323254,0.829324871,b,0.281143528,131.5813056
bs,2004,FWD,4.319151,0.450180668,d,0.032824959,131.5813056
bs,2004,Litter,1.6,0.115470054,f,0.012159782,131.5813056
bs,2004,Live,80.26855224,18.96444767,a,0.610030064,131.5813056
bs,2004,Shrub,0.02868753,0,e,0.000218021,131.5813056
bs,2011,CWD,11.85498585,5.905566683,c,0.098726363,120.0792323
bs,2011,Dead,28.7525151,2.684078085,b,0.239446193,120.0792323
bs,2011,FWD,2.436467739,0.412516489,d,0.020290501,120.0792323
bs,2011,Litter,1.028463153,0.327475812,f,0.008564871,120.0792323
bs,2011,Live,75.90188061,22.08986384,a,0.632098317,120.0792323
bs,2011,Shrub,0.104919881,0,e,0.000873755,120.0792323
uc,2004,CWD,20.29548667,4.940444213,c,0.066813598,303.762817
uc,2004,Dead,54.83830289,21.18860182,b,0.180530005,303.762817
uc,2004,FWD,7.733007333,1.044759197,d,0.025457386,303.762817
uc,2004,Litter,7.4,0.251661148,f,0.024361112,303.762817
uc,2004,Live,213.4707563,40.31056144,a,0.702754729,303.762817
uc,2004,Shrub,0.025263847,0,e,8.32E-05,303.762817
uc,2011,CWD,19.51841249,6.782606929,c,0.06393697,305.2758433
uc,2011,Dead,46.19325766,12.06429937,b,0.151316453,305.2758433
uc,2011,FWD,4.918668154,0.467267151,d,0.016112209,305.2758433
uc,2011,Litter,2.112204383,0.437451985,f,0.006919003,305.2758433
uc,2011,Live,232.4749179,39.11746024,a,0.76152412,305.2758433
uc,2011,Shrub,0.05838269,0,e,0.000191246,305.2758433
uc,2018,CWD,33.6079148,8.527880419,c,0.109463554,307.0237871
uc,2018,Dead,110.0281683,28.3415467,b,0.358370175,307.0237871
uc,2018,FWD,4.158018108,0.559086691,d,0.013542984,307.0237871
uc,2018,Litter,1.336856631,0.235378299,f,0.004354244,307.0237871
uc,2018,Live,157.8348973,47.07862541,a,0.514080354,307.0237871
uc,2018,Shrub,0.057932009,0,e,0.000188689,307.0237871
uc,2019,CWD,32.76091534,7.004542403,c,0.105996397,309.0757462
uc,2019,Dead,110.0281683,28.3415467,b,0.355990949,309.0757462
uc,2019,FWD,5.753301785,0.346636001,d,0.018614537,309.0757462
uc,2019,Litter,2.680695755,0.843091554,f,0.008673265,309.0757462
uc,2019,Live,157.8348973,47.07862541,a,0.510667366,309.0757462
uc,2019,Shrub,0.017767687,0,e,5.75E-05,309.0757462
un,2004,CWD,27.56095667,8.328823581,c,0.081296349,339.0183834
un,2004,Dead,58.84367405,20.69887255,b,0.173570747,339.0183834
un,2004,FWD,4.173085333,0.386236493,d,0.012309319,339.0183834
un,2004,Litter,7.9,0.251661148,f,0.023302571,339.0183834
un,2004,Live,240.48902,39.82702076,a,0.709368671,339.0183834
un,2004,Shrub,0.051647372,0,e,0.000152344,339.0183834
un,2011,CWD,24.67038811,10.6373885,c,0.074106143,332.9061163
un,2011,Dead,43.41838609,17.14910957,b,0.130422314,332.9061163
un,2011,FWD,3.66372829,0.708063648,d,0.01100529,332.9061163
un,2011,Litter,1.841722266,0.521791362,f,0.005532257,332.9061163
un,2011,Live,259.2624403,41.39175623,a,0.778785452,332.9061163
un,2011,Shrub,0.049451235,0,e,0.000148544,332.9061163
un,2018,CWD,28.14178796,23.78046598,c,0.082914158,339.4087175
un,2018,Dead,110.2531795,16.42129853,b,0.324838974,339.4087175
un,2018,FWD,3.99491061,1.071466813,d,0.011770206,339.4087175
un,2018,Litter,1.503507721,0.637579887,f,0.004429785,339.4087175
un,2018,Live,195.486074,42.39321501,a,0.575960675,339.4087175
un,2018,Shrub,0.029257729,0,e,8.62E-05,339.4087175
un,2019,CWD,25.79641854,24.63728224,c,0.076136686,338.8171986
un,2019,Dead,110.2531795,16.42129853,b,0.325406089,338.8171986
