Plot,DBH_11,DC_2011,Status_2011,DBH_17,Status_2017,DC_2017,Treatment,Treatment_Title,count,DDD,Growing.Space
un2,48.5,,1,50.5,1,,un,Control,1,0,66.122
un2,45.3,,1,47.6,1,,un,Control,1,0,8.59
un2,7.3,,1,9.8,1,,un,Control,1,0,14.989
un2,16.8,,1,17.9,2,1,un,Control,1,1,7.58
un2,14.7,,1,14.1,2,2,un,Control,1,1,7.062
un2,39.6,,1,40.3,2,2,un,Control,1,1,31.494
un2,8.5,,1,9.4,2,1,un,Control,1,1,49.298
un2,130.2,,1,132.3,1,,un,Control,1,0,24.722
un2,10.8,,1,11,2,1,un,Control,1,1,5.313
un2,52.8,,1,55.1,1,,un,Control,1,0,53.957
un2,43,,1,43.6,2,2,un,Control,1,1,4.174
un2,18.5,,1,18.6,2,2,un,Control,1,1,7.537
un2,48,,1,49.2,2,3,un,Control,1,1,7.041
un2,8.9,,1,8.8,2,1,un,Control,1,1,3.126
un2,57.5,,1,59.1,2,2,un,Control,1,1,6.471
un2,19.4,,1,21.5,1,,un,Control,1,0,7.372
un2,22.2,,1,26.2,1,,un,Control,1,0,19.698
un2,45.8,,1,47.4,2,1,un,Control,1,1,8.768
un2,6.7,,1,7.2,2,1,un,Control,1,1,10.139
un2,15,,1,15.4,1,,un,Control,1,0,34.198
un2,22,,1,22.1,2,4,un,Control,1,1,2.128
un2,56,,1,60,1,,un,Control,1,0,33.315
un2,13.8,,1,14.3,2,1,un,Control,1,1,7.141
un2,21,,1,21.4,2,2,un,Control,1,1,10.128
un2,91.5,,1,94.1,1,,un,Control,1,0,36.607
un2,27,,1,28.5,1,,un,Control,1,0,48.765
un2,19.9,,1,19.9,2,1,un,Control,1,1,27.405
un2,49.6,,1,50.8,2,3,un,Control,1,1,11.418
un2,34.7,,1,35,2,2,un,Control,1,1,11.316
un2,13.9,,1,13.9,2,2,un,Control,1,1,3.742
un2,32.6,,1,36.7,1,,un,Control,1,0,17.766
un2,76.1,,1,80,1,,un,Control,1,0,23.026
un2,6.5,,1,6.2,2,1,un,Control,1,1,9.124
un2,26.9,,1,28.4,1,,un,Control,1,0,9.942
