Plot,year_pre,carbon_pre,year_post,carbon_post,treatment,emissions
bc1,2017,252.0743417,2019,209.3928459,bc,42.6814958
bc2,2017,220.7672253,2019,158.8443107,bc,61.92291464
bc3,2017,238.0767445,2019,179.5571979,bc,58.5195466
bn1,2017,294.9376029,2019,267.620526,bn,27.31707694
bn2,2017,332.6656585,2019,285.9361942,bn,46.72946434
bn3,2017,344.7650076,2019,290.2842795,bn,54.48072812
bs1,2017,102.4114195,2019,85.92968937,bs,16.48173016
bs2,2017,157.8273939,2019,150.842439,bs,6.984954877
bs3,2017,127.4502552,2019,95.49764443,bs,31.95261075
