Plot,DBH_Pre,Status,Decay.Class,year,decay_post,consumed,Burn
bc2,61,2,1,2002,1,0,First Burn
bc2,30,2,1,2002,1,0,First Burn
bc2,32,2,1,2002,1,0,First Burn
bc2,23,2,1,2002,1,0,First Burn
bc2,9,2,1,2002,1,0,First Burn
bc2,119,2,1,2002,1,0,First Burn
bc2,37,2,1,2002,1,0,First Burn
bc2,136,2,1,2002,1,0,First Burn
bc2,12,2,1,2002,1,0,First Burn
bc2,43,2,1,2002,1,0,First Burn
bc2,52,2,1,2002,1,0,First Burn
bc2,18,2,1,2002,1,0,First Burn
bc2,27,2,1,2002,1,0,First Burn
bc2,14,2,1,2002,1,0,First Burn
bc2,8,2,1,2002,1,0,First Burn
bc2,129,2,1,2002,1,0,First Burn
bc2,38,2,1,2002,1,0,First Burn
bc2,16,2,1,2002,1,0,First Burn
bc2,33,2,1,2002,1,0,First Burn
bc2,25,2,1,2002,1,0,First Burn
bc2,76,2,1,2002,1,0,First Burn
bc2,49,2,1,2002,1,0,First Burn
bc2,31,2,1,2002,1,0,First Burn
bc2,20,2,1,2002,1,0,First Burn
bc3,148,2,1,2002,1,0,First Burn
bc3,47,2,1,2002,1,0,First Burn
bc3,58,2,1,2002,1,0,First Burn
bc3,27,2,1,2002,1,0,First Burn
bc3,9,2,1,2002,1,0,First Burn
bc3,44,2,1,2002,1,0,First Burn
bc3,81,2,1,2002,1,0,First Burn
bc3,27,2,1,2002,1,0,First Burn
bc3,20,2,1,2002,1,0,First Burn
bc3,34,2,1,2002,1,0,First Burn
bc3,24,2,1,2002,1,0,First Burn
bc3,25,2,1,2002,1,0,First Burn
bc3,15,2,1,2002,1,0,First Burn
bc3,149,2,1,2002,1,0,First Burn
bc3,41,2,1,2002,1,0,First Burn
bc3,52,2,1,2002,1,0,First Burn
bc3,46,2,1,2002,1,0,First Burn
bc3,13,2,1,2002,1,0,First Burn
bc3,7,2,1,2002,1,0,First Burn
bn1,14,2,1,2002,1,0,First Burn
bn1,7,2,1,2002,1,0,First Burn
bn1,8,2,1,2002,1,0,First Burn
bn1,9,2,1,2002,1,0,First Burn
bn2,18,2,1,2002,1,0,First Burn
bn2,15,2,1,2002,1,0,First Burn
bn2,20,2,1,2002,1,0,First Burn
bn2,23,2,1,2002,1,0,First Burn
bn2,20,2,1,2002,1,0,First Burn
bn2,27,2,1,2002,1,0,First Burn
bn2,10,2,1,2002,1,0,First Burn
bn2,9,2,1,2002,1,0,First Burn
bn3,55,2,1,2002,1,0,First Burn
bn3,34,2,1,2002,1,0,First Burn
bn3,9,2,1,2002,1,0,First Burn
bn3,162,2,1,2002,1,0,First Burn
bs1,15.3,2,1,2002,1,0,First Burn
bs1,38.8,2,1,2002,1,0,First Burn
bs1,36.6,2,1,2002,1,0,First Burn
bs1,10.9,2,1,2002,1,0,First Burn
bs1,42.3,2,1,2002,1,0,First Burn
bs1,50.7,2,1,2002,1,0,First Burn
bs1,42.8,2,1,2002,1,0,First Burn
bs1,10.8,2,1,2002,1,0,First Burn
bs1,39.7,2,1,2002,1,0,First Burn
bs1,21.3,2,1,2002,1,0,First Burn
bs1,18.9,2,1,2002,1,0,First Burn
bs1,7.5,2,1,2002,1,0,First Burn
bs1,53,2,1,2002,1,0,First Burn
bs1,5.6,2,1,2002,1,0,First Burn
bs1,39.9,2,1,2002,1,0,First Burn
bs1,37.5,2,1,2002,1,0,First Burn
bs1,15.9,2,1,2002,1,0,First Burn
bs1,15.1,2,1,2002,1,0,First Burn
bs1,7.6,2,1,2002,1,0,First Burn
bs1,65.5,2,1,2002,1,0,First Burn
bs1,51.2,2,1,2002,1,0,First Burn
bs1,41.7,2,1,2002,1,0,First Burn
bs1,33.7,2,1,2002,1,0,First Burn
bs1,17.5,2,1,2002,1,0,First Burn
bs1,29.2,2,1,2002,1,0,First Burn
bs1,36.1,2,1,2002,1,0,First Burn
bs1,28.8,2,1,2002,1,0,First Burn
bs1,8.2,2,1,2002,1,0,First Burn
bs2,79.5,2,1,2002,1,0,First Burn
bs2,12.3,2,1,2002,1,0,First Burn
bs2,24,2,1,2002,1,0,First Burn
bs2,27.5,2,1,2002,1,0,First Burn
bc1,109.9,2,2,2002,2,0,First Burn
bc1,49.8,2,2,2002,2,0,First Burn
bc1,44,2,2,2002,2,0,First Burn
bc1,6,2,2,2002,2,0,First Burn
bc1,8.8,2,2,2002,2,0,First Burn
bc1,5.8,2,2,2002,2,0,First Burn
bc1,7.7,2,2,2002,2,0,First Burn
bc1,22,2,2,2002,2,0,First Burn
bc1,6.3,2,2,2002,2,0,First Burn
bc1,15.1,2,2,2002,2,0,First Burn
bc1,41.2,2,2,2002,2,0,First Burn
bc1,13.5,2,2,2002,2,0,First Burn
bc1,6,2,2,2002,2,0,First Burn
bc1,18.8,2,2,2002,2,0,First Burn
bc1,53.7,2,2,2002,2,0,First Burn
bc1,10.2,2,2,2002,2,0,First Burn
bc1,79,2,2,2002,2,0,First Burn
bc1,26.7,2,2,2002,2,0,First Burn
bc1,56.1,2,2,2002,2,0,First Burn
bc1,32.2,2,2,2002,2,0,First Burn
bc2,31,2,2,2002,2,0,First Burn
bc2,14,2,2,2002,2,0,First Burn
bc2,27,2,2,2002,2,0,First Burn
bc2,7,2,2,2002,2,0,First Burn
bc2,7,2,2,2002,2,0,First Burn
bc2,96,2,2,2002,2,0,First Burn
bc2,19,2,2,2002,2,0,First Burn
bc2,97,2,2,2002,2,0,First Burn
bc2,9,2,2,2002,2,0,First Burn
bc2,22,2,2,2002,2,0,First Burn
bc2,81,2,2,2002,2,0,First Burn
bc2,78,2,2,2002,2,0,First Burn
bc2,8,2,2,2002,2,0,First Burn
bc2,11,2,2,2002,2,0,First Burn
bc2,12,2,2,2002,2,0,First Burn
bc2,7,2,2,2002,2,0,First Burn
bc2,7,2,2,2002,2,0,First Burn
bc2,13,2,2,2002,2,0,First Burn
bc2,7,2,2,2002,2,0,First Burn
bc2,26,2,2,2002,2,0,First Burn
bc2,7,2,2,2002,2,0,First Burn
bc2,9,2,2,2002,2,0,First Burn
bc2,9,2,2,2002,2,0,First Burn
bc2,8,2,2,2002,2,0,First Burn
