"Treatment","year","fuel_type","carbon","Standard.Deviation"
"us","2017","Litter",1.54516769666667,0.371577319629399
"bc","2018","Litter",0.841681443333333,0.575554537891017
"bn","2018","Litter",0.759055266666667,0.400374573583924
"bs","2018","Litter",0.899868892333333,0.462474101225779
"uc","2018","Litter",1.33685663066667,0.235378298840481
"un","2018","Litter",1.503507721,0.637579887151188
"us","2018","Litter",1.30630822,0.0661112876369669
"bc","2019","Litter",1.571933923,0.953125993266151
"bn","2019","Litter",1.507054918,0.45772491698135
"bs","2019","Litter",1.31881852166667,0.667713522672881
"uc","2019","Litter",2.68069575533333,0.843091554154252
"un","2019","Litter",2.65698437,0.303907207805513
"us","2019","Litter",2.77350473566667,0.78614580837159
"bc","2004","Live",175.430588,13.4231963643773
"bn","2004","Live",239.8387372,18.1643549452007
"bs","2004","Live",80.2685522366667,18.9644476685294
"uc","2004","Live",213.470756333333,40.3105614386467
"un","2004","Live",240.489019966667,39.82702075749
"us","2004","Live",108.307128236667,16.671247441531
"bc","2011","Live",158.1892842,18.1041417713791
"bn","2011","Live",241.550757833333,17.0750176981866
"bs","2011","Live",75.90188061,22.0898638447785
"uc","2011","Live",232.474917866667,39.1174602433901
"un","2011","Live",259.262440333333,41.3917562250154
"us","2011","Live",117.597480633333,10.8108172371546
"bc","2017","Live",124.199473466667,21.696712511721
"bn","2017","Live",168.088648466667,16.4275479662546
"bs","2017","Live",52.1418202933333,22.4124787741749
"uc","2017","Live",157.8348973,47.0786254059749
"un","2017","Live",195.486073966667,42.3932150080448
"us","2017","Live",102.02030469,17.6803049282549
"bc","2018","Live",104.810742676667,10.814908899007
"bn","2018","Live",156.749521966667,17.5795155275883
"bs","2018","Live",46.80884731,19.1355530748146
"uc","2018","Live",157.8348973,47.0786254059749
"un","2018","Live",195.486073966667,42.3932150080448
"us","2018","Live",102.02030469,17.6803049282549
"bc","2019","Live",97.93849552,7.8109556046121
"bn","2019","Live",147.693990966667,18.8822898738851
"bs","2019","Live",44.9006580333333,17.5031631587619
"uc","2019","Live",157.8348973,47.0786254059749
"un","2019","Live",195.486073966667,42.3932150080448
"us","2019","Live",102.02030469,17.6803049282549
