Plot,DBH_11,DC_2011,DBH_17,Status_2017,DC_2017,sizeclass,Died,Treatment,ddd,fell,Carbon,carbon_mg_ha
bc1,131,0,114.2,2,2,6,Drought,bc,1,0,8.578786647,2.144696662
bc1,41.5,0,43.7,2,1,3,Drought,bc,1,0,0.495998557,0.123999639
bc1,30.3,0,35.8,2,1,2,Drought,bc,1,0,0.227487815,0.056871954
bc1,20.3,0,24.1,2,1,2,Drought,bc,1,0,0.084363596,0.021090899
bc1,34.2,0,38,2,2,2,Drought,bc,1,0,0.307077605,0.076769401
bc1,12.6,0,15.4,2,1,1,Drought,bc,1,0,0.025926658,0.006481665
bc1,23.4,0,23.9,2,2,2,Drought,bc,1,0,0.119942581,0.029985645
bc1,24.7,0,21.5,2,2,2,Drought,bc,1,0,0.137127576,0.034281894
bc1,17.9,0,17.9,2,4,1,Drought,bc,1,0,0.061787754,0.015446939
bc1,49.1,0,49.2,2,3,3,Drought,bc,1,0,0.752518996,0.188129749
bc1,87.5,0,86.4,2,3,5,Drought,bc,1,0,3.152954006,0.788238501
bc1,123.1,0,124.4,2,1,6,Drought,bc,1,0,7.352240563,1.838060141
bc1,38.1,0,41.5,2,1,2,Drought,bc,1,0,0.40130232,0.10032558
bc1,23.4,0,26.4,2,2,2,Drought,bc,1,0,0.119942581,0.029985645
bc1,109.1,0,110,2,1,6,Drought,bc,1,0,5.449590525,1.362397631
bc1,101.1,0,102.1,2,2,6,Drought,bc,1,0,4.511608031,1.127902008
bc1,86.6,0,89.4,2,2,5,Drought,bc,1,0,3.073135448,0.768283862
bc1,79,0,79.7,2,2,4,Drought,bc,1,0,2.447103616,0.611775904
bc1,9.9,0,10.3,2,1,1,Drought,bc,1,0,0.014288557,0.003572139
bc1,78.1,0,80.2,2,1,4,Drought,bc,1,0,2.378548903,0.594637226
bc1,106.7,0,109.2,2,2,6,Drought,bc,1,0,5.157070219,1.289267555
bc1,27.6,0,28.7,2,1,2,Drought,bc,1,0,0.180526951,0.045131738
bc1,40.5,0,41.8,2,2,3,Drought,bc,1,0,0.466900982,0.116725246
bc1,80.9,0,82.7,2,2,5,Drought,bc,1,0,2.595667439,0.64891686
bc1,25.4,0,26.2,2,1,2,Drought,bc,1,0,0.146954935,0.036738734
bc1,108.8,0,109.9,2,2,6,Drought,bc,1,0,5.412497902,1.353124475
bc1,103.4,0,103,2,3,6,Drought,bc,1,0,3.855697131,0.963924283
bc1,110.5,0,111.3,2,1,6,Drought,bc,1,0,5.62469373,1.406173432
bc1,94,0,94.6,2,2,5,Drought,bc,1,0,3.766159551,0.941539888
bc1,14.8,0,21.2,2,1,1,Drought,bc,1,0,0.038597839,0.00964946
bc1,,0,26.5,2,1,,Drought,bc,1,0,,
bc1,,0,94.9,2,1,,Drought,bc,1,0,,
bc1,123.8,0,130.8,2,1,6,Drought,bc,1,0,7.456380914,1.864095229
bc1,13.2,0,17.5,2,1,1,Drought,bc,1,0,0.029086524,0.007271631
bc1,26.1,0,23.2,2,1,2,Drought,bc,1,0,0.157191058,0.039297764
bc1,17,0,17.3,2,1,1,Drought,bc,1,0,0.054382707,0.013595677
bc1,10.9,0,15.4,2,1,1,Drought,bc,1,0,0.018121869,0.004530467
bc1,105.3,0,104.5,2,1,6,Drought,bc,1,0,4.99086534,1.247716335
bc1,24.7,0,24.9,2,3,2,Drought,bc,1,0,0.137127576,0.034281894
bc1,57.2,0,55.6,2,1,3,Drought,bc,1,0,1.098816666,0.274704167
bc1,115.8,0,118,2,1,6,Drought,bc,1,0,6.317793333,1.579448333
bc1,47.4,0,47.1,2,1,3,Drought,bc,1,0,0.689574226,0.172393556
bc1,86.3,0,89,2,1,5,Drought,bc,1,0,3.046800408,0.761700102
bc1,21.2,0,29.4,2,1,2,Drought,bc,1,0,0.093928482,0.02348212
bc1,16.4,0,19.5,2,1,1,Drought,bc,1,0,0.049756419,0.012439105
bc1,22.7,0,24.6,2,1,2,Drought,bc,1,0,0.111252793,0.027813198
bc1,10.9,0,9.5,2,1,1,Drought,bc,1,0,0.018121869,0.004530467
bc1,10.1,0,10.5,2,1,1,Drought,bc,1,0,0.015011949,0.003752987
bc1,18.1,0,20,2,1,1,Drought,bc,1,0,0.063510397,0.015877599
bc1,16.2,0,16.8,2,1,1,Drought,bc,1,0,0.048268624,0.012067156
bc1,16.7,0,17,2,1,1,Drought,bc,1,0,0.052038872,0.013009718
bc1,103.4,0,105.6,2,2,6,Drought,bc,1,0,4.770480147,1.192620037
bc1,36.2,0,41.2,2,1,2,Drought,bc,1,0,0.353519605,0.088379901
bc1,13.8,0,16.7,2,1,1,Drought,bc,1,0,0.032465706,0.008116426
bc1,30.1,0,33,2,1,2,Drought,bc,1,0,0.223785747,0.055946437
bc1,21.8,0,23.7,2,1,2,Drought,bc,1,0,0.100648458,0.025162114
bc1,7.7,0,9.3,2,1,1,Drought,bc,1,0,0.007685772,0.001921443
bc1,22.9,0,34,2,1,2,Drought,bc,1,0,0.113695821,0.028423955
bc1,44.1,0,48.1,2,1,3,Drought,bc,1,0,0.576625871,0.144156468
bc1,15.7,0,16.9,2,1,1,Drought,bc,1,0,0.044666411,0.011166603
bc1,11.2,0,12.5,2,2,1,Drought,bc,1,0,0.019379114,0.004844779
bc1,110.8,0,116,2,2,6,Drought,bc,1,0,5.662646593,1.415661648
bc1,12.2,0,13,2,1,1,Drought,bc,1,0,0.023939538,0.005984884
bc1,7.7,0,6.4,2,1,1,Drought,bc,1,0,0.007685772,0.001921443
bc1,137.3,0,140.4,2,2,6,Drought,bc,1,0,9.638890143,2.409722536
bc1,5.4,0,5.2,2,1,1,Drought,bc,1,0,0.00320857,0.000802142
bc1,13.5,0,12.6,2,1,1,Drought,bc,1,0,0.030748402,0.007687101
bc1,29.1,0,35.6,2,1,2,Drought,bc,1,0,0.205816172,0.051454043
bc1,15,0,25.9,2,1,1,Drought,bc,1,0,0.039900826,0.009975207
bc1,27.4,0,30,2,1,2,Drought,bc,1,0,0.177303755,0.044325939
bc1,63.9,0,65,2,1,4,Drought,bc,1,0,1.446107053,0.361526763
bc1,52.7,0,55.3,2,1,3,Drought,bc,1,0,0.896806359,0.22420159
bc1,22.6,0,25.1,2,1,2,Drought,bc,1,0,0.110043143,0.027510786
bc1,9.9,0,10.2,2,1,1,Drought,bc,1,0,0.014288557,0.003572139
bc1,7.2,0,8,2,1,1,Drought,bc,1,0,0.006513545,0.001628386
bc1,11.9,0,16.8,2,1,1,Drought,bc,1,0,0.022510874,0.005627719
bc1,14.1,0,15,2,1,1,Drought,bc,1,0,0.034239022,0.008559756
bc1,23.5,0,31.1,2,1,2,Drought,bc,1,0,0.121215927,0.030303982
bc1,21.6,0,21.7,2,1,2,Drought,bc,1,0,0.098377642,0.024594411
bc1,17.2,0,17.4,2,1,1,Drought,bc,1,0,0.055979625,0.013994906
bc1,112.5,0,114.4,2,2,6,Drought,bc,1,0,5.880598661,1.470149665
bc1,83.2,0,88.2,2,1,5,Drought,bc,1,0,2.782546807,0.695636702
bc1,15.7,0,15.5,2,2,1,Drought,bc,1,0,0.044666411,0.011166603
bc1,9.8,0,12.7,2,2,1,Drought,bc,1,0,0.013934835,0.003483709
bc1,6.5,0,7.2,2,1,1,Drought,bc,1,0,0.005062932,0.001265733
bc1,5.2,0,5.5,2,1,1,Drought,bc,1,0,0.002924375,0.000731094
bc1,7.4,0,8.2,2,1,1,Drought,bc,1,0,0.006968556,0.001742139
bc1,33.1,0,33.1,2,2,2,Drought,bc,1,0,0.283182318,0.070795579
bc1,47.8,0,50.8,2,1,3,Drought,bc,1,0,0.704089929,0.176022482
bc1,22.3,0,20.5,2,4,2,Drought,bc,1,0,0.106461447,0.026615362
bc1,37,0,37.6,2,1,2,Drought,bc,1,0,0.37319827,0.093299568
bc1,85.8,0,88.6,2,3,5,Drought,bc,1,0,3.003209001,0.75080225
bc1,35.5,0,36.4,2,3,2,Drought,bc,1,0,0.336820281,0.08420507
bc1,6.9,0,7.5,2,1,1,Drought,bc,1,0,0.005865127,0.001466282
bc1,5.9,0,5.4,2,2,1,Drought,bc,1,0,0.003989161,0.00099729
bc1,8.2,0,8.9,2,1,1,Drought,bc,1,0,0.008975629,0.002243907
bc1,53,0,57.1,2,1,3,Drought,bc,1,0,0.909516447,0.227379112
bc1,8.1,0,9.3,2,1,1,Drought,bc,1,0,0.008708073,0.002177018
bc1,,0,94.5,2,2,,Drought,bc,1,0,,
bc1,6.8,0,7.2,2,1,1,Drought,bc,1,0,0.005657959,0.00141449
bc1,5.3,0,8,2,1,1,Drought,bc,1,0,0.003064505,0.000766126
bc1,7.1,0,8.6,2,1,1,Drought,bc,1,0,0.006292889,0.001573222
bc1,9.2,0,9.4,2,1,1,Drought,bc,1,0,0.011922505,0.002980626
bc1,18.5,0,17,2,2,1,Drought,bc,1,0,0.067040903,0.016760226
bc1,106.8,0,111.4,2,2,6,Drought,bc,1,0,5.169066527,1.292266632
bc1,,0,11,2,1,,Drought,bc,1,0,,
bc1,,0,12.1,2,1,,Drought,bc,1,0,,
bc1,,0,8.6,2,2,,Drought,bc,1,0,,
bc1,34.9,0,34.9,2,4,2,Drought,bc,1,0,0.322888894,0.080722224
bc1,18.7,0,18.4,2,1,1,Drought,bc,1,0,0.068849064,0.017212266
bc1,5.2,0,6.6,2,1,1,Drought,bc,1,0,0.002924375,0.000731094
bc1,7.2,0,8.2,2,1,1,Drought,bc,1,0,0.006513545,0.001628386
bc1,5.9,0,7.7,2,1,1,Drought,bc,1,0,0.003989161,0.00099729
bc1,6.3,0,7.1,2,1,1,Drought,bc,1,0,0.004687996,0.001171999
bc1,,0,9.1,2,1,,Drought,bc,1,0,,
bc1,,0,9.9,2,1,,Drought,bc,1,0,,
bc1,,0,8.6,2,1,,Drought,bc,1,0,,
bc1,,0,6.3,2,1,,Drought,bc,1,0,,
bc1,,0,5.2,2,1,,Drought,bc,1,0,,
bc1,,0,6.2,2,1,,Drought,bc,1,0,,
bc1,,0,8.5,2,1,,Drought,bc,1,0,,
bc1,22.1,0,27.2,2,1,2,Drought,bc,1,0,0.104112861,0.026028215
bc1,,0,7.4,2,1,,Drought,bc,1,0,,
bc1,,0,16.8,2,1,,Drought,bc,1,0,,
bc1,,0,5.1,2,2,,Drought,bc,1,0,,
bc1,,0,6.5,2,1,,Drought,bc,1,0,,
bc1,,0,6.4,2,1,,Drought,bc,1,0,,
bc2,9.2,0,10.2,2,1,1,Drought,bc,1,0,0.011922505,0.002980626
bc2,7,0,7.9,2,1,1,Drought,bc,1,0,0.006533158,0.00163329
bc2,124.4,0,127.2,2,1,6,Drought,bc,1,0,6.047046363,1.511761591
bc2,25.9,0,31.1,2,1,2,Drought,bc,1,0,0.132938492,0.033234623
bc2,,0,93,2,2,,Drought,bc,1,0,,
bc2,57,0,71.8,2,1,3,Drought,bc,1,0,1.089315499,0.272328875
bc2,12.6,0,20.4,2,1,1,Drought,bc,1,0,0.025926658,0.006481665
bc2,33.8,0,39.1,2,1,2,Drought,bc,1,0,0.298254618,0.074563654
bc2,,0,45.9,2,1,,Drought,bc,1,0,,
bc2,25.4,0,25.2,2,2,2,Drought,bc,1,0,0.118648425,0.029662106
bc2,21.5,0,22.7,2,2,2,Drought,bc,1,0,0.081483691,0.020370923
bc2,33.5,0,31.8,2,2,2,Drought,bc,1,0,0.221492879,0.05537322
bc2,17.2,0,17.5,2,1,1,Drought,bc,1,0,0.049286437,0.012321609
bc2,108.6,0,109.1,2,2,6,Drought,bc,1,0,3.149823675,0.787455919
bc2,118.7,0,120.8,2,1,6,Drought,bc,1,0,3.850342462,0.962585615
bc2,19.8,0,20.4,2,3,1,Drought,bc,1,0,0.067679311,0.016919828
bc2,30.1,0,28.4,2,3,2,Drought,bc,1,0,0.173991007,0.043497752
bc2,97.4,0,98.8,2,2,5,Drought,bc,1,0,2.463456563,0.615864141
bc2,12.5,0,15.5,2,1,1,Drought,bc,1,0,0.025420998,0.00635525
bc2,16.1,0,19.7,2,1,1,Drought,bc,1,0,0.047534818,0.011883705
bc2,25.6,0,29.5,2,1,2,Drought,bc,1,0,0.149837595,0.037459399
bc2,31.2,0,31.7,2,2,2,Drought,bc,1,0,0.244598253,0.061149563
bc2,6,0,7.8,2,2,1,Drought,bc,1,0,0.004157572,0.001039393
bc2,7.9,0,8,2,1,1,Drought,bc,1,0,0.008187395,0.002046849
bc2,7.3,0,7.4,2,1,1,Drought,bc,1,0,0.006738757,0.001684689
bc2,23.4,0,24.5,2,2,2,Drought,bc,1,0,0.119942581,0.029985645
bc2,7.4,0,7.1,2,1,1,Drought,bc,1,0,0.006968556,0.001742139
bc2,10.7,0,10.1,2,1,1,Drought,bc,1,0,0.017311535,0.004327884
bc2,9.5,0,10,2,1,1,Drought,bc,1,0,0.012905254,0.003226314
bc2,14.2,0,14.8,2,2,1,Drought,bc,1,0,0.034842675,0.008710669
bc2,22.5,0,23.2,2,2,2,Drought,bc,1,0,0.10884138,0.027210345
bc2,35.1,0,37.8,2,1,2,Drought,bc,1,0,0.327493672,0.081873418
bc2,23.4,0,26.9,2,2,2,Drought,bc,1,0,0.119942581,0.029985645
bc2,123.6,0,129,2,3,6,Drought,bc,1,0,7.426537281,1.85663432
bc2,,0,24.1,2,4,,Drought,bc,1,0,,
bc2,9.5,0,10.7,2,2,1,Drought,bc,1,0,0.012905254,0.003226314
bc2,31.4,0,33,2,1,2,Drought,bc,1,0,0.248501505,0.062125376
bc2,32.5,0,35.6,2,1,2,Drought,bc,1,0,0.270632882,0.06765822
bc2,27.2,0,30,2,1,2,Drought,bc,1,0,0.174115165,0.043528791
bc2,11.5,0,11.5,2,1,1,Drought,bc,1,0,0.020687035,0.005171759
bc2,17.1,0,19.7,2,1,1,Drought,bc,1,0,0.055177717,0.013794429
bc2,25.8,0,29.1,2,1,2,Drought,bc,1,0,0.152753749,0.038188437
bc2,22.9,0,28,2,2,2,Drought,bc,1,0,0.113695821,0.028423955
bc2,24.6,0,26,2,1,2,Drought,bc,1,0,0.110389409,0.027597352
bc2,17.9,0,18.7,2,2,1,Drought,bc,1,0,0.061787754,0.015446939
bc2,26.2,0,30.8,2,1,2,Drought,bc,1,0,0.158687044,0.039671761
bc2,9.6,0,8.5,2,2,1,Drought,bc,1,0,0.013243209,0.003310802
bc2,10.3,0,12,2,1,1,Drought,bc,1,0,0.015756775,0.003939194
bc2,27.5,0,29.9,2,1,2,Drought,bc,1,0,0.17891102,0.044727755
bc2,20.7,0,20.5,2,2,2,Drought,bc,1,0,0.088538987,0.022134747
bc2,180.8,0,184.5,2,2,6,Drought,bc,1,0,9.959059441,2.48976486
bc2,38,0,42.9,2,1,2,Drought,bc,1,0,0.398696976,0.099674244
bc2,32.1,0,32.3,2,2,2,Drought,bc,1,0,0.262454605,0.065613651
bc2,28.9,0,30.6,2,2,2,Drought,bc,1,0,0.158737583,0.039684396
bc2,16.7,0,20.3,2,1,1,Drought,bc,1,0,0.052038872,0.013009718
bc2,123.8,0,124.5,2,2,6,Drought,bc,1,0,7.456380914,1.864095229
bc2,91.3,0,90.5,2,3,5,Drought,bc,1,0,3.503541017,0.875885254
bc2,95.9,0,98.6,2,2,5,Drought,bc,1,0,3.957795894,0.989448974
bc2,29.4,0,31,2,2,2,Drought,bc,1,0,0.211112869,0.052778217
bc2,91.5,0,94.8,2,1,5,Drought,bc,1,0,2.139282851,0.534820713
bc2,23.6,0,25.4,2,1,2,Drought,bc,1,0,0.100530387,0.025132597
bc2,101.5,0,91.4,2,4,6,Drought,bc,1,0,3.68553112,0.92138278
bc2,26.7,0,27.3,2,2,2,Drought,bc,1,0,0.166294296,0.041573574
bc2,24.1,0,25.8,2,1,2,Drought,bc,1,0,0.129025336,0.032256334
bc2,23.3,0,23.5,2,2,2,Drought,bc,1,0,0.118677256,0.029669314
bc2,17.3,0,17.5,2,2,1,Drought,bc,1,0,0.056788452,0.014197113
bc2,21.5,0,22.5,2,2,2,Drought,bc,1,0,0.097253819,0.024313455
bc2,89.4,0,91.6,2,2,5,Drought,bc,1,0,3.325489653,0.831372413
bc2,86.8,0,92.3,2,1,5,Drought,bc,1,0,3.090767362,0.772691841
bc2,13.7,0,14.6,2,1,1,Drought,bc,1,0,0.029530258,0.007382565
bc2,91.4,0,96,2,1,5,Drought,bc,1,0,3.513065997,0.878266499
bc2,83.5,0,83.9,2,2,5,Drought,bc,1,0,2.807495782,0.701873945
bc2,16.2,0,16.2,2,1,1,Drought,bc,1,0,0.048268624,0.012067156
bc2,17,0,19,2,1,1,Drought,bc,1,0,0.04800505,0.012001262
bc2,132.9,0,134.2,2,2,6,Drought,bc,1,0,8.890748074,2.222687018
bc2,14.4,0,15.1,2,3,1,Drought,bc,1,0,0.033035204,0.008258801
bc2,12.4,0,13,2,2,1,Drought,bc,1,0,0.024921273,0.006230318
bc2,13.8,0,22.8,2,1,1,Drought,bc,1,0,0.032465706,0.008116426
bc2,17.4,0,22.1,2,1,1,Drought,bc,1,0,0.057604215,0.014401054
bc2,22.4,0,25.3,2,1,2,Drought,bc,1,0,0.107647487,0.026911872
bc2,8,0,16.8,2,1,1,Drought,bc,1,0,0.008445338,0.002111334
bc2,16.8,0,18.5,2,2,1,Drought,bc,1,0,0.052813304,0.013203326
bc2,9.4,0,10.2,2,1,1,Drought,bc,1,0,0.012572503,0.003143126
bc2,12.5,0,14.6,2,1,1,Drought,bc,1,0,0.025420998,0.00635525
bc2,24.2,0,28,2,1,2,Drought,bc,1,0,0.13035528,0.03258882
bc2,94,0,99.2,2,2,5,Drought,bc,1,0,3.766159551,0.941539888
bc2,21.3,0,19.3,2,1,2,Drought,bc,1,0,0.095029256,0.023757314
bc2,26.3,0,29.6,2,1,2,Drought,bc,1,0,0.160191497,0.040047874
bc2,30.5,0,34.2,2,1,2,Drought,bc,1,0,0.231226204,0.057806551
bc2,12.2,0,14.6,2,1,1,Drought,bc,1,0,0.023939538,0.005984884
bc2,6.4,0,6.6,2,1,1,Drought,bc,1,0,0.004873311,0.001218328
bc2,8.3,0,9.2,2,1,1,Drought,bc,1,0,0.009248034,0.002312008
