Plot,year,fuel_type,biomass,carbon,Treatment
bc3,2011,Live,350.7941862,175.3970931,bc
bn1,2011,Live,443.7454934,221.8727467,bn
bn2,2011,Live,504.9131976,252.4565988,bn
bn3,2011,Live,500.645856,250.322928,bn
bs1,2011,Live,106.9097056,53.4548528,bs
bs2,2011,Live,195.2327138,97.61635689,bs
bs3,2011,Live,153.2688643,76.63443214,bs
uc1,2011,Live,551.5915254,275.7957627,uc
uc2,2011,Live,399.4791378,199.7395689,uc
uc3,2011,Live,443.778844,221.889422,uc
un1,2011,Live,544.5983736,272.2991868,un
un2,2011,Live,425.8436764,212.9218382,un
un3,2011,Live,585.132592,292.566296,un
us1,2011,Live,216.3321842,108.1660921,us
us2,2011,Live,258.7911586,129.3955793,us
us3,2011,Live,230.461541,115.2307705,us
bc1,2017,CWD,40.44542422,20.22271211,bc
bc2,2017,CWD,74.49878597,37.24939299,bc
bc3,2017,CWD,50.44013696,25.22006848,bc
bn1,2017,CWD,37.16257886,18.58128943,bn
bn2,2017,CWD,47.38138064,23.69069032,bn
bn3,2017,CWD,81.77324338,40.88662169,bn
bs1,2017,CWD,49.86947366,24.93473683,bs
bs2,2017,CWD,53.88664107,26.94332054,bs
bs3,2017,CWD,42.69576018,21.34788009,bs
uc1,2017,CWD,81.46153804,40.73076902,uc
uc2,2017,CWD,44.12526231,22.06263116,uc
uc3,2017,CWD,73.65023577,36.82511789,uc
un1,2017,CWD,20.57638839,10.2881942,un
un2,2017,CWD,48.4825742,24.2412871,un
un3,2017,CWD,107.5901344,53.7950672,un
us1,2017,CWD,45.77894413,22.88947207,us
us2,2017,CWD,86.28786133,43.14393067,us
us3,2017,CWD,36.88371461,18.44185731,us
bc1,2017,FWD,6.719124486,3.359562243,bc
bc2,2017,FWD,4.937139894,2.468569947,bc
bc3,2017,FWD,7.506846425,3.753423213,bc
bn1,2017,FWD,5.7036517,2.85182585,bn
bn2,2017,FWD,9.879254402,4.939627201,bn
bn3,2017,FWD,5.631238236,2.815619118,bn
bs1,2017,FWD,6.95148657,3.475743285,bs
bs2,2017,FWD,4.140525413,2.070262707,bs
bs3,2017,FWD,4.818731101,2.409365551,bs
uc1,2017,FWD,10.85632922,5.428164609,uc
uc2,2017,FWD,8.299632807,4.149816404,uc
uc3,2017,FWD,10.94022006,5.470110029,uc
un1,2017,FWD,6.094671609,3.047335805,un
un2,2017,FWD,8.028220364,4.014110182,un
un3,2017,FWD,6.898262657,3.449131329,un
us1,2017,FWD,9.504400134,4.752200067,us
us2,2017,FWD,7.525035691,3.762517846,us
us3,2017,FWD,7.456541972,3.728270986,us
bc1,2017,Litter,6.260654938,2.316442327,bc
bc2,2017,Litter,4.604671605,1.703728494,bc
bc3,2017,Litter,5.442099074,2.013576657,bc
bn1,2017,Litter,4.873591976,1.803229031,bn
bn2,2017,Litter,6.843315741,2.532026824,bn
bn3,2017,Litter,5.567123457,2.059835679,bn
bs1,2017,Litter,2.700998457,0.999369429,bs
bs2,2017,Litter,3.219967593,1.191388009,bs
bs3,2017,Litter,3.521913272,1.303107911,bs
uc1,2017,Litter,4.163547839,1.5405127,uc
uc2,2017,Litter,5.734608951,2.121805312,uc
uc3,2017,Litter,5.137794444,1.900983944,uc
un1,2017,Litter,6.925879013,2.562575235,un
un2,2017,Litter,6.15450216,2.277165799,un
un3,2017,Litter,3.708814744,1.372261455,un
us1,2017,Litter,3.536066975,1.308344781,us
us2,2017,Litter,3.658732408,1.353730991,us
us3,2017,Litter,5.333587346,1.973427318,us
bc1,2017,Dead,243.6941114,121.8470557,bc
bc2,2017,Dead,116.8490588,58.42452941,bc
bc3,2017,Dead,119.481659,59.74082951,bc
bn1,2017,Dead,210.5099426,105.2549713,bn
bn2,2017,Dead,297.918687,148.9593435,bn
bn3,2017,Dead,227.4544874,113.7272437,bn
bs1,2017,Dead,92.73319426,46.36659713,bs
bs2,2017,Dead,117.8728653,58.93643264,bs
bs3,2017,Dead,82.57080724,41.28540362,bs
uc1,2017,Dead,213.5008892,106.7504446,uc
uc2,2017,Dead,166.9359872,83.46799362,uc
uc3,2017,Dead,279.7321336,139.8660668,uc
un1,2017,Dead,206.3177274,103.1588637,un
un2,2017,Dead,197.1433566,98.5716783,un
un3,2017,Dead,258.057993,129.0289965,un
us1,2017,Dead,82.87954784,41.43977392,us
us2,2017,Dead,97.57585238,48.78792619,us
us3,2017,Dead,95.17518064,47.58759032,us
bc1,2017,Live,208.6571386,104.3285693,bc
bc2,2017,Live,241.842009,120.9210045,bc
bc3,2017,Live,294.6976932,147.3488466,bc
bn1,2017,Live,332.8925746,166.4462873,bn
bn2,2017,Live,305.0879414,152.5439707,bn
bn3,2017,Live,370.5513748,185.2756874,bn
bs1,2017,Live,53.26994572,26.63497286,bs
bs2,2017,Live,137.37198,68.68599002,bs
bs3,2017,Live,122.208996,61.104498,bs
uc1,2017,Live,418.5767566,209.2883783,uc
uc2,2017,Live,294.6006148,147.3003074,uc
uc3,2017,Live,233.8320124,116.9160062,uc
un1,2017,Live,460.4111526,230.2055763,un
un2,2017,Live,296.483028,148.241514,un
un3,2017,Live,416.0222632,208.0111316,un
us1,2017,Live,168.1291161,84.06455807,us
us2,2017,Live,238.8233052,119.4116526,us
us3,2017,Live,205.1694068,102.5847034,us
bc1,2018,CWD,21.49108044,10.74554022,bc
bc2,2018,CWD,24.13007146,12.06503573,bc
bc3,2018,CWD,10.95074159,5.475370795,bc
bn1,2018,CWD,13.08583143,6.542915715,bn
bn2,2018,CWD,17.14967082,8.57483541,bn
bn3,2018,CWD,31.52143476,15.76071738,bn
bs1,2018,CWD,38.16581428,19.08290714,bs
bs2,2018,CWD,36.27402857,18.13701429,bs
bs3,2018,CWD,17.36085962,8.68042981,bs
uc1,2018,CWD,81.62062209,40.81031105,uc
uc2,2018,CWD,48.3826362,24.1913181,uc
